cas,iarc
57-41-0,2B
57-57-8,2B
57-68-1,3
57-74-9,2B
57-88-5,3
57018-52-7,2B
57117-31-4,1
57465-28-8,1
57835-92-4,2B
58-08-2,3
58-14-0,3
58-55-9,3
58-89-9,1
58-93-5,2B
581-89-5,3
59-05-2,3
59-87-0,3
59-89-2,2B
592-62-1,2B
59277-89-3,3
593-60-2,2A
593-70-4,3
59536-65-1,2A
598-55-0,3
59820-43-8,3
59865-13-3,1
5989-27-5,3
599-79-1,2B
60-09-3,2B
60-11-7,2B
60-35-5,2B
60-56-0,3
60-57-1,2A
60102-37-6,3
60153-49-3,2B
602-60-8,3
602-87-9,2B
604-75-1,2B
6055-19-2,1
606-20-2,2B
607-57-8,2B
609-20-1,3
61-57-4,2B
61-82-5,3
611-06-3,2B
613-35-4,2B
615-05-4,2B
615-28-1,2B
615-53-2,2B
6164-98-3,3
618-85-9,3
62-44-2,1
62-50-0,2B
62-53-3,3
62-55-5,2B
62-56-6,3
62-73-7,2B
62-75-9,2A
621-64-7,2B
62450-06-0,2B
62450-07-1,2B
627-12-3,3
63-25-2,3
63-92-3,2B
630-20-6,2B
63041-90-7,3
631-64-1,2B
632-99-5,2B
6358-53-8,2B
6368-72-5,3
637-07-0,3
6373-74-6,3
64-17-5,1
64-67-5,2A
64091-91-4,1
641-48-5,3
6416-57-5,3
64436-13-1,3
6459-94-5,2B
64741-56-6,2B
64742-93-4,2A
65271-80-9,2B
65996-93-2,1
66-27-3,2A
66-75-1,2B
66733-21-9,1
67-20-9,3
67-45-8,3
67-63-0,3
67-66-3,2B
67-72-1,2B
67730-10-3,2B
67730-11-4,2B
68-12-2,2A
68-76-8,3
680-31-9,2B
68006-83-7,2B
68308-34-9,1
684-93-5,2A
68603-42-9,2B
6870-67-3,3
69-53-4,3
693-98-1,2B
69655-05-6,3
70-25-7,2A
70-30-4,3
7099-43-6,3
71-43-2,1
71-55-6,3
71-58-9,2B
712-68-5,2B
71267-22-6,3
72-20-8,3
72-43-5,3
72-57-1,2B
7220-79-3,3
723-46-6,3
73459-03-7,3
74-83-9,3
74-85-1,3
74-87-3,3
74-88-4,3
74-96-4,3
7439-92-1,2B
7439-97-6,3
7440-02-0,2B
7440-07-5,1
7440-29-1,1
7440-38-2,1
7440-41-7,1
7440-43-9,1
7440-47-3,3
7440-48-4,2A
7446-09-5,3
7460-84-6,3
7481-89-2,2B
7496-02-8,2A
75-00-3,3
75-01-4,1
75-02-5,2A
75-07-0,1
75-09-2,2A
75-21-8,1
75-25-2,3
75-27-4,2B
75-35-4,2B
75-38-7,3
75-45-6,3
75-52-5,2B
75-55-8,2B
75-56-9,2B
75-60-5,2B
75-87-6,2A
75-88-7,3
7519-36-0,3
75321-20-9,2B
7572-29-4,3
759-73-9,2A
76-01-7,3
76-03-9,2B
76-44-8,2B
76180-96-6,2A
7631-86-9,3
7647-01-0,3
765-34-4,2B
77-09-8,2B
77-78-1,2A
77094-11-2,2B
7722-84-1,3
77439-76-0,2B
77500-04-0,2B
77536-66-4,1
77536-67-5,1
77536-68-6,1
7758-01-2,2B
7758-19-2,3
7782-49-2,3
78-79-5,2B
78-87-5,1
78-98-8,3
789-07-1,3
79-00-5,3
79-01-6,1
79-06-1,2A
79-10-7,3
79-34-5,2B
79-43-6,2B
79-44-7,2A
79-46-9,2B
79-94-7,2A
79217-60-0,1
794-93-4,2B
80-08-0,3
80-62-6,3
800-24-8,3
8001-35-2,2B
8001-50-1,3
8001-58-9,2A
8002-05-9,3
8007-45-2,1
8018-07-3,3
804-36-4,3
8047-67-4,3
8052-42-4,2B
81-07-2,3
81-15-2,3
81-49-2,2B
81-88-9,3
817-09-4,2B
82-28-0,3
82-68-8,3
822-36-6,2B
82413-20-5,3
828-00-2,3
83-32-9,3
83-63-6,3
83-66-9,3
83-67-0,3
832-69-9,3
83463-62-1,3
838-88-0,2B
84-65-1,2B
842-07-9,3
846-50-4,3
85-01-8,3
85-68-7,3
85-83-6,3
85-84-7,3
85-86-9,3
85502-23-4,3
85878-62-2,3
85878-63-3,3
86-30-6,3
86-54-4,3
86-57-7,3
86-73-7,3
86-74-8,2B
86-88-4,3
868-85-9,3
87-29-6,3
87-62-7,2B
87-68-3,3
87-86-5,1
87625-62-5,3
88-05-1,3
88-06-2,2B
88-12-0,3
88-72-2,2A
88-73-3,2B
89-61-2,2B
89-82-7,2B
892-21-7,3
89778-26-7,3
90-04-0,2B
90-43-7,3
90-65-3,3
90-94-8,2B
9000-07-1,3
9000-38-8,2B
9002-84-0,3
9002-86-2,3
9002-88-4,3
9002-89-5,3
9003-01-4,3
9003-07-0,3
9003-20-7,3
9003-22-9,3
9003-39-8,3
9003-53-6,3
9003-54-7,3
9003-55-8,3
9004-51-7,3
9004-66-4,2B
90045-36-6,2B
9009-54-5,3
9010-98-4,3
9011-06-7,3
9011-14-7,3
9016-87-9,3
90370-29-9,3
90456-67-0,3
91-20-3,2B
91-22-5,2B
91-23-6,2B
91-59-8,1
91-64-5,3
91-93-0,3
91-94-1,2B
915-67-3,3
92-67-1,1
92-87-5,1
92-93-3,3
924-16-3,2B
924-42-5,3
93-15-2,2B
930-55-2,2B
94-36-0,3
94-58-6,2B
94-59-7,2B
94-75-7,2B
95-06-7,2B
95-50-1,3
95-53-4,1
95-54-5,2B
95-68-1,3
95-69-2,2A
95-70-5,3
95-78-3,3
95-79-4,3
95-80-7,2B
95-83-0,2B
95-85-2,2B
96-09-3,2A
96-12-8,2B
96-13-9,2B
96-18-4,2A
96-23-1,2B
96-24-2,2B
96-33-3,2B
96-45-7,3
96-48-0,3
97-53-0,3
97-56-3,2B
97-77-8,3
98-00-0,2B
98-01-1,3
98-07-7,2A
98-82-8,2B
98-83-9,2B
98-87-3,2A
98-88-4,2A
98-95-3,2B
989-38-8,3
99-08-1,3
99-55-8,3
99-56-9,3
99-57-0,3
99-59-2,3
99-80-9,3
99-97-8,2B
99-99-0,3
