cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
76-12-0,1.0,4620.0,4620.0,"1,1,2,2-tetrachloro-1,2-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc112; gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable
76-13-1,0.8,6520.0,6130.0,"1,1,2-trichloro-1,2,2-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc113; species_key=cfc113
76-14-2,1.0,9430.0,10000.0,"1,2-dichloro-1,1,2,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc114; species_key=cfc114
76-15-3,0.6,9600.0,7370.0,"1-chloro-1,1,2,2,2-pentafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc115; species_key=cfc115
76-16-4,0.0,12400.0,12400.0,Hexafluoroethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=c2f6; ODP inferred 0 (low-ODP fluorinated species)
76-19-7,0.0,9290.0,9290.0,Octafluoropropane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=c3f8; ODP inferred 0 (low-ODP fluorinated species)
76-37-9,,,14.4,"2,2,3,3-tetrafluoropropan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
773-14-8,,,13900.0,"2,2,3,3,4,4,5,5-octafluorooxolane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
7783-54-2,0.0,17400.0,17400.0,Nitrogen trifluoride,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=nf3; ODP inferred 0 (low-ODP fluorinated species)
78-94-4,,,0.0,Methyl vinyl ketone,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
78522-47-1,,6060.0,6060.0,Bis(difluoromethoxy)-difluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe236ca12
79-01-6,,,0.044,"1,1,2-trichloroethene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
79-35-6,,,0.021,"1,1-dichloro-2,2-difluoroethene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
811-97-2,0.0,1530.0,1430.0,"1,1,1,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc134a; ODP inferred 0 (low-ODP fluorinated species)
84011-06-3,,,1260.0,"1,1,2-trifluoro-2-(trifluoromethoxy)ethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
84011-15-4,,934.0,934.0,"1,1-difluoro-2-(trifluoromethoxy)ethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe245fa1
856766-70-6,0.0,,269.0,"Formic acid;1,1,1,3,3,3-hexafluoropropan-2-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
87017-97-8,,,0.273,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
920-66-1,0.0,,206.0,"1,1,1,3,3,3-hexafluoropropan-2-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
920979-28-8,,,48.7,"2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
928-94-9,,,0.003,(z)-hex-2-en-1-ol,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
928-95-0,,,0.002,(e)-hex-2-en-1-ol,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
99728-16-2,,,0.454,"1-chloro-3,3,3-trifluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
