cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
335-57-9,,,8410.0,Hexadecafluoroheptane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
338-83-0,0.0,,9030.0,Perfluorotripropylamine,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
338-84-1,0.0,,7260.0,Perfluorotripentylamine,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
35042-99-0,0.0,484.0,484.0,"3-(difluoromethoxy)-1,1,2,2-tetrafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe356pcf3; ODP inferred 0 (low-ODP fluorinated species)
353-36-6,0.0,4.84,4.84,Fluoroethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc161; ODP inferred 0 (low-ODP fluorinated species)
353-59-3,3.0,1930.0,1930.0,Bromochlorodifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=halon1211; species_key=halon1211
354-14-3,0.0,58.3,58.3,"1,1,2,2-tetrachloro-1-fluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species)
354-15-4,0.0,,245.0,"1,1,2-trichloro-1,2-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
354-21-2,0.0,56.4,56.4,"1,2,2-trichloro-1,1-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species)
354-23-4,0.0,,395.0,"1,2-dichloro-1,1,2-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
354-25-6,0.0,,2070.0,"1-chloro-1,1,2,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
354-33-6,0.0,3740.0,3500.0,"1,1,1,2,2-pentafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc125; ODP inferred 0 (low-ODP fluorinated species)
354-56-3,1.0,,,CFC-111 (C2FCl5) Pentachlorofluoroethane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
354-58-5,0.0,,3930.0,"1,1,1-trichloro-2,2,2-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
355-08-8,,,0.235,"3,3,4,4,5,5,5-heptafluoropent-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
355-25-9,0.0,,10000.0,Decafluorobutane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
355-42-0,,,8620.0,Tetradecafluorohexane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
357-26-6,,,0.102,Octafluoro-1-butene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
