"Category","Sub Category","Units","1-Acetylpiperidine","4-Acetylmorpholine","Hexahydro-1H-azepine-1-carbaldehyde","N-Formylpiperidine","Butanedial","Tetramethylene sulfoxide","1,2-Cyclohexanedione","2-Methoxy-1,3-dioxolane","2-Methylpyrazine","3-Methoxypropionitrile","Acetone","Caprolactone","Cyclobutanone","Cycloheptanone","Cyclopentanone","Cyrene","Diisopropyl methylphosphonate","Butyl sulfoxide","Dimethyl sulfoxide","Ethyl cyanoacetate","1,3-Dioxolan-2-one, 4-[(acetyloxy)methyl]-","Methyl acetoacetate","Methyl cyanoacetate","N,N-Diethyl Acetamide","N,N-Diethylformamide","1-Butylpyrrolidin-2-one","Triethyl phosphate","γ-Butyrolactone","Î³-Valerolactone","N-methyl-2-pyrrolidone","β-Methyl-δ-valerolactone","3,4-(Methylenedioxy)benzaldehyde","Octadecylamine","PFOS - Heptadecafluorooctanesulfonic acid solution"
"Acute Human Effects","Oral Toxicity","LD50 mg/kg","96","7136","","","","3500","","2652","1800.00","3200","5800.00","4290.00","898","2595","2000.00","2000","826","378","28300.00","2000","3247","3228","200","","","1500","1100","1540.00","8800.00","4150","","2700","2000","500"
"Acute Human Effects","Oral Toxicity","Memo for LD50 mg/kg","PubChem - Red-winged blackbird - LDad (Lethal Dose-acute dietary)","OECD Test Guideline 401","","","","PubChem","","OPERA","SDS","ToxVal - Mouse","","","OPERA","","","OECD Test Guideline 423","SDS","","","","OPERA","ToxValDB","PubChem","","","SDS 300-2000","rat, Fisher Scientific, OECD SIDS SDS","","","SDS","","SDS","SDS","SDS"
"Acute Human Effects","Oral Toxicity","Key Phrases","","","6","6","6","","6","4","6","4","","4","6","6","4","4","6","6","4","6","6","4","6","6","4","6","6","6","","4","6","4","6","6"
"Acute Human Effects","Oral Toxicity","Memo for Key Phrases","","","","","","","","","SDS","","","","","","","","SDS","","","","","","","SDS","","SDS","SciFinder","","","","","SDS","","SDS"
"Acute Human Effects","Oral Toxicity","GHS H Phrases","","","6","6","6","","6","","6","4","","","","6","","4","6","6","","6","6","4","6","6","","6","6","6","","4","6","4","4","6"
"Acute Human Effects","Oral Toxicity","Memo for GHS H Phrases","","","","","","","","","SDS","","","","","","","","","","","","","","","SDS","","SDS","SciFinder","","","","","SDS","","SDS"
"Acute Human Effects","Oral Toxicity","GHS Category Level","","","4","4","","","4","","4","2","","","","4","","4","4","4","","","6","2","6","4","","4","4","4","","4","6","2","4","4"
"Acute Human Effects","Oral Toxicity","Memo for GHS Category Level","","","","","","","","","SDS","","","","","","","","","","","","","","","SDS","","SDS","SciFinder","","","","","SDS","","SDS"
"Acute Human Effects","Dermal Toxicity","LD50 mg/kg","300","2000","","","","","","","","9020","7400.00","6400.00","","","3000.00","","1100","","40000.00","2000","","2000","400","1100","","2000","21400","5000.00","5000.00","8000.00","","5000","",""
"Acute Human Effects","Dermal Toxicity","Memo for LD50 mg/kg","PubChem - Rabbit","OECD Test Guideline 402","","","","","","","","ToxVal - Rabbit","","","","","","","SDS","","","","","SDS","PubChem","SDS","","SDS","guinea pig","","","SDS","","SDS","",""
"Acute Human Effects","Dermal Toxicity","Key Phrases","","","6","8","","","","4","4","2","","2","4","4","6","","6","","4","6","4","4","6","6","4","4","4","2","","","","2","4","6"
"Acute Human Effects","Dermal Toxicity","Memo for Key Phrases","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","","","","","","","",""
"Acute Human Effects","Dermal Toxicity","GHS H Phrases","","","6","8","","","","","","","","","","","","","6","","","6","","4","6","6","","","4","","","4","","","",""
"Acute Human Effects","Dermal Toxicity","Memo for GHS H Phrases","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","SciFinder","","","SciFinder","","","",""
"Acute Human Effects","Dermal Toxicity","GHS Category Level","","","4","4","","","","","","","","","","","","","4","","","","","2","6","4","","","2","","","2","","","",""
"Acute Human Effects","Dermal Toxicity","Memo for GHS Category Level","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","SciFinder","","","SciFinder","","","",""
"Acute Human Effects","Respiratory Irritation","Key Phrases","","","6","6","","6","4","","","","4","2","","","","2","4","","","6","4","","","","4","","4","","4","6","6","","",""
"Acute Human Effects","Respiratory Irritation","Memo for Key Phrases","","","","","","","","","","","","","","","","OECD Test Guideline 429","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Respiratory Irritation","GHS H Phrases","","","","4","","4","4","","","","","","","","","4","","","","","4","","","4","4","","","","","4","4","","",""
"Acute Human Effects","Respiratory Irritation","Memo for GHS H Phrases","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","","","","SDS","","","",""
"Acute Human Effects","Respiratory Irritation","GHS Category Level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Respiratory Irritation","Memo for GHS Category Level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Category 3 on SciFinder","","","",""
"Acute Human Effects","Dermal Irritation","Key Phrases","","6","8","8","8","8","8","4","4","6","4","2","4","10","6","2","6","4","6","6","8","","6","6","8","6","8","4","6","8","8","6","6","6"
"Acute Human Effects","Dermal Irritation","Memo for Key Phrases","","","","","","","","","","","","","","","","OECD Test Guideline 404","","","","","","","","","","SDS Causes skin irritation","SciFinder ""causes skin irritation""","","","","","","","extremely destructive to tissue of the mucous membranes and skin"
"Acute Human Effects","Dermal Irritation","GHS Category Level","6","10","","6","","6","6","","","6","","","","10","6","2","6","","","6","8","","","6","6","6","6","","","6","","6","6","8"
"Acute Human Effects","Dermal Irritation","Memo for GHS Category Level","","","","","","","","","","PubChem","","","","","","","SDS","","","","","","","SDS","","SDS","SciFinder, 2","","","SDS","","","SDS","Pubchem"
"Acute Human Effects","Dermal Irritation","GHS H Phrases","","6","8","8","8","8","8","","","8","","","","10","8","","6","","","6","8","","","8","8","8","8","","","8","8","6","8","8"
"Acute Human Effects","Dermal Irritation","Memo for GHS H Phrases","","","","","","","","","","","","","","","","","","","","","","","","SDS","","SDS","SciFinder","","","SDS","","SDS","SDS","Pubchem"
"Acute Human Effects","Eye Irritation","Key Phrases","","","8","8","8","8","8","6","4","8","6","8","4","10","8","8","8","4","6","8","8","8","8","8","8","8","8","8","4","8","8","6","10","8"
"Acute Human Effects","Eye Irritation","Memo for Key Phrases","","","","","","","","","","","","","","","","OECD Test Guideline 437","","","","","","","","","","SDS - Causes serious eye irritation.","","","","","","","","extremely destructive to tissue of the mucous membranes and eyes"
"Acute Human Effects","Eye Irritation","GHS H Phrases","","8","8","8","8","8","8","","","8","","8","","10","8","8","","","","8","8","8","8","8","8","8","8","10","","8","8","6","10","8"
"Acute Human Effects","Eye Irritation","Memo for GHS H Phrases","","PubChem","","","","","","","","SDS","","","","","","","","","","","","","","SDS","","SDS","SciFinder","","","SDS","","","SDS",""
"Acute Human Effects","Eye Irritation","GHS Category Level","8","6","6","6","","8","6","","","8","6","8","","10","8","8","6","","","8","8","8","8","8","8","8","8","10","","8","8","6","10","8"
"Acute Human Effects","Eye Irritation","Memo for GHS Category Level","","PubChem","","","","","","","","","","","","","","","","","","","","","","SDS","","SDS","SciFinder","","","SDS","","","SDS",""
"Acute Human Effects","Exposure Limits","PEL/TLV ppm (gas or vapor)","","","","2.7","","","","","","","250.00","","","","","","","","250.00","","","","","","15","","","","","15","","","",""
"Acute Human Effects","Exposure Limits","Memo for PEL/TLV ppm (gas or vapor)","","","","","","","","","","","","","","","","","","","","","","","","","skin","","","","","SDS","","","",""
"Acute Human Effects","Exposure Limits"," PEL/TLV (dusts/particles) mg/m3","","","","","","","","","","","","","","","","","","","","","","","","","","","7.45","","","4.00","","","",""
"Acute Human Effects","Exposure Limits","Memo for  PEL/TLV (dusts/particles) mg/m3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Exposure Limits","Key phrases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
