cas,name,list,cas_raw,source
101-77-9,"4,4&#8242;-Methylenedianiline",CAA112(b),101779,USCODE-2023-title42-sec7412
91-20-3,Naphthalene,CAA112(b),91203,USCODE-2023-title42-sec7412
98-95-3,Nitrobenzene,CAA112(b),98953,USCODE-2023-title42-sec7412
92-93-3,4-Nitrobiphenyl,CAA112(b),92933,USCODE-2023-title42-sec7412
100-02-7,4-Nitrophenol,CAA112(b),100027,USCODE-2023-title42-sec7412
79-46-9,2-Nitropropane,CAA112(b),79469,USCODE-2023-title42-sec7412
684-93-5,N-Nitroso-N-methylurea,CAA112(b),684935,USCODE-2023-title42-sec7412
62-75-9,N-Nitrosodimethylamine,CAA112(b),62759,USCODE-2023-title42-sec7412
59-89-2,N-Nitrosomorpholine,CAA112(b),59892,USCODE-2023-title42-sec7412
56-38-2,Parathion,CAA112(b),56382,USCODE-2023-title42-sec7412
82-68-8,Pentachloronitrobenzene (Quintobenzene),CAA112(b),82688,USCODE-2023-title42-sec7412
87-86-5,Pentachlorophenol,CAA112(b),87865,USCODE-2023-title42-sec7412
108-95-2,Phenol,CAA112(b),108952,USCODE-2023-title42-sec7412
106-50-3,p-Phenylenediamine,CAA112(b),106503,USCODE-2023-title42-sec7412
75-44-5,Phosgene,CAA112(b),75445,USCODE-2023-title42-sec7412
7803-51-2,Phosphine,CAA112(b),7803512,USCODE-2023-title42-sec7412
7723-14-0,Phosphorus,CAA112(b),7723140,USCODE-2023-title42-sec7412
85-44-9,Phthalic anhydride,CAA112(b),85449,USCODE-2023-title42-sec7412
1336-36-3,Polychlorinated biphenyls (Aroclors),CAA112(b),1336363,USCODE-2023-title42-sec7412
1120-71-4,"1,3-Propane sultone",CAA112(b),1120714,USCODE-2023-title42-sec7412
57-57-8,beta-Propiolactone,CAA112(b),57578,USCODE-2023-title42-sec7412
123-38-6,Propionaldehyde,CAA112(b),123386,USCODE-2023-title42-sec7412
114-26-1,Propoxur (Baygon),CAA112(b),114261,USCODE-2023-title42-sec7412
78-87-5,"Propylene dichloride (1,2-Dichloropropane)",CAA112(b),78875,USCODE-2023-title42-sec7412
75-56-9,Propylene oxide,CAA112(b),75569,USCODE-2023-title42-sec7412
75-55-8,"1,2-Propylenimine (2-Methyl aziridine)",CAA112(b),75558,USCODE-2023-title42-sec7412
91-22-5,Quinoline,CAA112(b),91225,USCODE-2023-title42-sec7412
106-51-4,Quinone,CAA112(b),106514,USCODE-2023-title42-sec7412
100-42-5,Styrene,CAA112(b),100425,USCODE-2023-title42-sec7412
96-09-3,Styrene oxide,CAA112(b),96093,USCODE-2023-title42-sec7412
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",CAA112(b),1746016,USCODE-2023-title42-sec7412
79-34-5,"1,1,2,2-Tetrachloroethane",CAA112(b),79345,USCODE-2023-title42-sec7412
127-18-4,Tetrachloroethylene (Perchloroethylene),CAA112(b),127184,USCODE-2023-title42-sec7412
7550-45-0,Titanium tetrachloride,CAA112(b),7550450,USCODE-2023-title42-sec7412
108-88-3,Toluene,CAA112(b),108883,USCODE-2023-title42-sec7412
95-80-7,"2,4-Toluene diamine",CAA112(b),95807,USCODE-2023-title42-sec7412
584-84-9,"2,4-Toluene diisocyanate",CAA112(b),584849,USCODE-2023-title42-sec7412
95-53-4,o-Toluidine,CAA112(b),95534,USCODE-2023-title42-sec7412
8001-35-2,Toxaphene (chlorinated camphene),CAA112(b),8001352,USCODE-2023-title42-sec7412
120-82-1,"1,2,4-Trichlorobenzene",CAA112(b),120821,USCODE-2023-title42-sec7412
79-00-5,"1,1,2-Trichloroethane",CAA112(b),79005,USCODE-2023-title42-sec7412
79-01-6,Trichloroethylene,CAA112(b),79016,USCODE-2023-title42-sec7412
95-95-4,"2,4,5-Trichlorophenol",CAA112(b),95954,USCODE-2023-title42-sec7412
88-06-2,"2,4,6-Trichlorophenol",CAA112(b),88062,USCODE-2023-title42-sec7412
121-44-8,Triethylamine,CAA112(b),121448,USCODE-2023-title42-sec7412
1582-09-8,Trifluralin,CAA112(b),1582098,USCODE-2023-title42-sec7412
540-84-1,"2,2,4-Trimethylpentane",CAA112(b),540841,USCODE-2023-title42-sec7412
108-05-4,Vinyl acetate,CAA112(b),108054,USCODE-2023-title42-sec7412
593-60-2,Vinyl bromide,CAA112(b),593602,USCODE-2023-title42-sec7412
75-01-4,Vinyl chloride,CAA112(b),75014,USCODE-2023-title42-sec7412
75-35-4,"Vinylidene chloride (1,1-Dichloroethylene)",CAA112(b),75354,USCODE-2023-title42-sec7412
1330-20-7,Xylenes (isomers and mixture),CAA112(b),1330207,USCODE-2023-title42-sec7412
95-47-6,o-Xylenes,CAA112(b),95476,USCODE-2023-title42-sec7412
108-38-3,m-Xylenes,CAA112(b),108383,USCODE-2023-title42-sec7412
106-42-3,p-Xylenes,CAA112(b),106423,USCODE-2023-title42-sec7412
