cas,D,P,H,RER,smiles,source
13019-20-0,15.76,4.73,3.06,,,doss_bootstrap
13021-53-9,15.6,6.2,13.7,,,doss_bootstrap
13254-34-7,15.7,3.37,6.44,,,doss_bootstrap
133-08-4,16.14,4.27,5.67,,,doss_bootstrap
133-21-1,17.52,4.36,9.14,,,doss_bootstrap
13327-56-5,17.11,5.78,6.45,,,doss_bootstrap
13341-72-5,17.22,5.28,5.39,,,doss_bootstrap
13360-61-7,15.9,1.14,1.75,,,doss_bootstrap
13361-30-3,16.3,10.33,7.25,,,doss_bootstrap
13361-32-5,16.82,10.7,7.9,,,doss_bootstrap
13368-65-5,17.53,7.7,3.93,,,doss_bootstrap
1338-43-8,16.63,5.59,7.51,,,doss_bootstrap
134-09-8,17.9,5.01,4.08,,,doss_bootstrap
134-20-3,19.07,8.53,9.18,,,doss_bootstrap
13532-18-8,17.4,6.28,7.06,,,doss_bootstrap
13616-82-5,19.45,3.08,4.54,,,doss_bootstrap
13623-11-5,17.76,5.2,5.62,,,doss_bootstrap
13679-70-4,18.9,12.52,8.13,,,doss_bootstrap
13708-12-8,19.58,7.01,5.7,,,doss_bootstrap
138-22-7,15.8,6.5,10.2,,,doss_bootstrap
13925-00-3,18.0,8.5,5.7,,,doss_bootstrap
140-26-1,16.99,3.05,4.16,,,doss_bootstrap
140-39-6,18.33,4.81,6.06,,,doss_bootstrap
141-17-3,16.08,4.27,5.27,,,doss_bootstrap
141942-85-0,17.05,11.44,12.29,,,doss_bootstrap
141-97-9,16.5,7.3,8.3,,,doss_bootstrap
142-26-7,18.42,16.61,17.66,,,doss_bootstrap
142-77-8,16.3,3.7,4.2,,,doss_bootstrap
142-91-6,16.2,3.9,3.7,,,doss_bootstrap
142-92-7,15.8,2.9,5.9,,,doss_bootstrap
142-96-1,15.2,3.4,3.2,,,doss_bootstrap
14309-57-0,16.56,4.86,3.95,,,doss_bootstrap
14347-78-5,16.8,7.48,10.95,,,doss_bootstrap
1438-94-4,18.85,6.0,5.84,,,doss_bootstrap
1445-73-4,18.12,8.67,6.69,,,doss_bootstrap
14465-68-0,16.1,1.93,5.38,,,doss_bootstrap
1459-10-5,16.61,1.11,1.86,,,doss_bootstrap
14630-40-1,13.44,2.1,1.48,,,doss_bootstrap
14667-55-1,17.72,7.09,4.58,,,doss_bootstrap
1484-80-6,16.56,3.5,4.37,,,doss_bootstrap
14898-79-4,15.65,5.76,12.29,,,doss_bootstrap
1501-82-2,16.99,1.39,3.05,,,doss_bootstrap
1504-55-8,18.43,4.36,10.08,,,doss_bootstrap
150-86-7,16.14,2.49,5.03,,,doss_bootstrap
1551-27-5,17.79,2.74,5.01,,,doss_bootstrap
1565-81-7,15.98,3.93,7.55,,,doss_bootstrap
15679-12-6,17.73,5.45,5.82,,,doss_bootstrap
15679-13-7,17.33,4.68,4.87,,,doss_bootstrap
1569-01-3,15.8,7.0,9.2,,,doss_bootstrap
1569-60-4,16.57,4.38,9.19,,,doss_bootstrap
1569-69-3,17.51,3.84,4.52,,,doss_bootstrap
15707-23-0,17.64,7.43,4.82,,,doss_bootstrap
1576-95-0,16.61,6.17,12.31,,,doss_bootstrap
1589-49-7,16.23,8.36,13.0,,,doss_bootstrap
1613-51-0,18.5,6.3,8.9,,,doss_bootstrap
16325-63-6,15.4,3.55,8.55,,,doss_bootstrap
1640-39-7,17.71,4.83,1.51,,,doss_bootstrap
1640-89-7,16.07,0.1,0.1,,,doss_bootstrap
16415-12-6,13.88,1.66,1.35,,,doss_bootstrap
16493-80-4,16.17,4.05,8.54,,,doss_bootstrap
1656-48-0,16.81,16.69,7.63,,,doss_bootstrap
16747-26-5,14.71,0.1,0.1,,,doss_bootstrap
1678-93-9,16.2,0.0,0.6,,,doss_bootstrap
1694-31-1,15.94,6.23,5.38,,,doss_bootstrap
172888-77-6,15.2,5.0,3.8,,,doss_bootstrap
17301-94-9,15.5,0.1,0.1,,,doss_bootstrap
1732-10-1,16.34,4.71,5.91,,,doss_bootstrap
1738-25-6,15.85,9.27,5.84,,,doss_bootstrap
1738-36-9,16.08,14.11,7.76,,,doss_bootstrap
17392-83-5,17.07,8.59,14.64,,,doss_bootstrap
1746-13-0,17.84,4.2,4.93,,,doss_bootstrap
